name,latitude,longitude,status,address
"David-TCN",47.23911,-122.44989,"active","2309 S L St, Tacoma, WA 98405"
"SURGEtacoma",47.23854,-122.44094,"confirmed","2367 Tacoma Ave S, Tacoma, WA 98402"
"Filipino Community Center",47.5501,-122.2872,"confirmed","5740 Martin Luther King Jr Way S, Seattle, WA 98118"
"Oareao OCC Masjid",47.52391,-122.27636,"in conversation","8812 Renton Ave S, Seattle, WA 98118"
"ALTSpace",47.60816,-122.30192,"in conversation","2318 E Cherry St, Seattle, WA 98122"
"Franklin High School",47.576,-122.29307,"in conversation","3013 S Mt Baker Blvd, Seattle, WA 98144"
"Garfield High School",47.60533,-122.3018,"in conversation","400 23rd Ave, Seattle, WA 98122"
"Skyway Library",47.49049,-122.23853,"in conversation","12601 76th Ave S, Seattle, WA 98178"
"University Heights Center",47.66613,-122.31374,"in conversation","5031 University Way NE, Seattle, WA 98105"
"Hillside Church Kent",47.38639, -122.22205,"in conversation","930 E James St, Kent, WA 98031"